variable,label,count_0,count_1,total,pct_1,pct_0
Never Used E-Cigarettes,Never Used E-Cigarettes,709,4156,4865,85.42651593011306,14.573484069886947
Never Smoked,Never Smoked,1719,3146,4865,64.66598150051387,35.33401849948613
Diagnosed High Blood Pressure,Diagnosed High Blood Pressure,2764,2101,4865,43.18602261048304,56.81397738951696
Biological Sex,Biological Sex,2883,1982,4865,40.739979445015415,59.260020554984585
Good General Health,Good General Health,3052,1813,4865,37.26618705035971,62.73381294964029
Very Good General Health,Very Good General Health,3109,1756,4865,36.0945529290853,63.905447070914704
Diagnosed Depression,Diagnosed Depression,3551,1314,4865,27.00924974306269,72.9907502569373
Former Smoker,Former Smoker,3652,1213,4865,24.933196300102775,75.06680369989722
Diagnosed Diabetes,Diagnosed Diabetes,3896,969,4865,19.917780061664953,80.08221993833504
Ever Diagnosed with Cancer,Ever Diagnosed with Cancer,4142,723,4865,14.861253854059608,85.13874614594039
Fair General Health,Fair General Health,4178,687,4865,14.121274409044194,85.87872559095581
Diagnosed Lung Disease,Diagnosed Lung Disease,4209,656,4865,13.484069886947585,86.51593011305242
Former E-Cigarette User,Former E-Cigarette User,4315,550,4865,11.30524152106886,88.69475847893115
Currently Smokes (Cigarettes),Currently Smokes (Cigarettes),4359,506,4865,10.40082219938335,89.59917780061664
Excellent General Health,Excellent General Health,4365,500,4865,10.277492291880781,89.72250770811921
Diagnosed Heart Condition,Diagnosed Heart Condition,4412,453,4865,9.311408016443988,90.68859198355601
Hearing Impaired,Hearing Impaired,4440,425,4865,8.735868448098664,91.26413155190134
Currently Uses E-Cigarettes,Currently Uses E-Cigarettes,4706,159,4865,3.2682425488180886,96.7317574511819
Poor General Health,Poor General Health,4756,109,4865,2.2404933196300103,97.75950668037
