bin_left,bin_right,bin_center,count
17.5,18.5,18.0,22
18.5,19.5,19.0,22
19.5,20.5,20.0,16
20.5,21.5,21.0,27
21.5,22.5,22.0,31
22.5,23.5,23.0,32
23.5,24.5,24.0,36
24.5,25.5,25.0,37
25.5,26.5,26.0,40
26.5,27.5,27.0,49
27.5,28.5,28.0,61
28.5,29.5,29.0,59
29.5,30.5,30.0,68
30.5,31.5,31.0,65
31.5,32.5,32.0,63
32.5,33.5,33.0,55
33.5,34.5,34.0,81
34.5,35.5,35.0,81
35.5,36.5,36.0,66
36.5,37.5,37.0,73
37.5,38.5,38.0,74
38.5,39.5,39.0,80
39.5,40.5,40.0,61
40.5,41.5,41.0,72
41.5,42.5,42.0,59
42.5,43.5,43.0,82
43.5,44.5,44.0,71
44.5,45.5,45.0,61
45.5,46.5,46.0,62
46.5,47.5,47.0,63
47.5,48.5,48.0,51
48.5,49.5,49.0,68
49.5,50.5,50.0,75
50.5,51.5,51.0,78
51.5,52.5,52.0,79
52.5,53.5,53.0,74
53.5,54.5,54.0,83
54.5,55.5,55.0,96
55.5,56.5,56.0,78
56.5,57.5,57.0,103
57.5,58.5,58.0,109
58.5,59.5,59.0,107
59.5,60.5,60.0,109
60.5,61.5,61.0,88
61.5,62.5,62.0,131
62.5,63.5,63.0,100
63.5,64.5,64.0,95
64.5,65.5,65.0,118
65.5,66.5,66.0,127
66.5,67.5,67.0,128
67.5,68.5,68.0,98
68.5,69.5,69.0,104
69.5,70.5,70.0,114
70.5,71.5,71.0,104
71.5,72.5,72.0,91
72.5,73.5,73.0,104
73.5,74.5,74.0,83
74.5,75.5,75.0,93
75.5,76.5,76.0,66
76.5,77.5,77.0,61
77.5,78.5,78.0,48
78.5,79.5,79.0,54
79.5,80.5,80.0,47
80.5,81.5,81.0,23
81.5,82.5,82.0,34
82.5,83.5,83.0,20
83.5,84.5,84.0,20
84.5,85.5,85.0,25
85.5,86.5,86.0,26
86.5,87.5,87.0,18
87.5,88.5,88.0,7
88.5,89.5,89.0,12
89.5,90.5,90.0,11
90.5,91.5,91.0,7
91.5,92.5,92.0,8
92.5,93.5,93.0,4
93.5,94.5,94.0,11
94.5,95.5,95.0,4
95.5,96.5,96.0,0
96.5,97.5,97.0,0
97.5,98.5,98.0,1
98.5,99.5,99.0,1
