bin_left,bin_right,bin_center,count
-0.5,0.5,0.0,2513
0.5,1.5,1.0,482
1.5,2.5,2.0,386
2.5,3.5,3.0,160
3.5,4.5,4.0,275
4.5,5.5,5.0,75
5.5,6.5,6.0,231
6.5,7.5,7.0,56
7.5,8.5,8.0,87
8.5,9.5,9.0,66
9.5,10.5,10.0,72
10.5,11.5,11.0,0
11.5,12.5,12.0,102
12.5,13.5,13.0,0
13.5,14.5,14.0,78
14.5,15.5,15.0,36
15.5,16.5,16.0,20
16.5,17.5,17.0,0
17.5,18.5,18.0,38
18.5,19.5,19.0,0
19.5,20.5,20.0,18
20.5,21.5,21.0,54
21.5,22.5,22.0,0
22.5,23.5,23.0,0
23.5,24.5,24.0,13
24.5,25.5,25.0,11
25.5,26.5,26.0,0
26.5,27.5,27.0,0
27.5,28.5,28.0,25
28.5,29.5,29.0,0
29.5,30.5,30.0,7
30.5,31.5,31.0,0
31.5,32.5,32.0,1
32.5,33.5,33.0,0
33.5,34.5,34.0,0
34.5,35.5,35.0,13
