bin_left,bin_right,bin_center,count
14.2,17.439999999999998,15.819999999999999,25
17.439999999999998,20.68,19.06,284
20.68,23.919999999999998,22.299999999999997,866
23.919999999999998,27.159999999999997,25.54,1060
27.159999999999997,30.4,28.779999999999998,1015
30.4,33.64,32.019999999999996,686
33.64,36.879999999999995,35.26,399
36.879999999999995,40.12,38.5,215
40.12,43.36,41.739999999999995,135
43.36,46.599999999999994,44.98,76
46.599999999999994,49.84,48.22,40
49.84,53.08,51.46,26
53.08,56.31999999999999,54.699999999999996,17
56.31999999999999,59.56,57.94,7
59.56,62.8,61.18,5
62.8,66.03999999999999,64.41999999999999,3
66.03999999999999,69.28,67.66,3
69.28,72.52,70.9,2
72.52,75.75999999999999,74.13999999999999,0
75.75999999999999,79.0,77.38,1
