,count,mean,std,min,25%,50%,75%,max,Count of 1s,Count of 0s,Count of 0s + 1s
FreqGoProvider,4865,2.959,1.839,0,1,3,5,6,,,
Deaf,4865,0.087,0.282,0,0,0,0,1,425,4440,4865
MedConditions_Diabetes,4865,0.199,0.399,0,0,0,0,1,969,3896,4865
MedConditions_HighBP,4865,0.432,0.495,0,0,0,1,1,2101,2764,4865
MedConditions_HeartCondition,4865,0.093,0.291,0,0,0,0,1,453,4412,4865
MedConditions_LungDisease,4865,0.135,0.342,0,0,0,0,1,656,4209,4865
MedConditions_Depression,4865,0.270,0.444,0,0,0,1,1,1314,3551,4865
AverageSleepNight,4865,6.908,1.404,0,6,7,8,24,,,
AverageTimeSitting,4865,6.814,3.575,0,4,6,9,20,,,
EverHadCancer,4865,0.149,0.356,0,0,0,0,1,723,4142,4865
Age,4865,54.956,17.222,18,41,57,68,99,,,
BirthGender,4865,0.407,0.491,0,0,0,1,1,1982,2883,4865
BMI,4865,28.811,6.792,14.200,24,28,32,79.000,,,
PHQ4,4865,2.192,2.802,0,0,1,4,12,,,
WeeklyMinutesModerateExercise,4865,171.333,316.591,0,15,90,210,5250,,,
AvgDrinksPerWeek,4865,3.441,7.300,0,0,0,4,84,,,
GeneralHealth_Excellent,4865,0.103,0.304,0,0,0,0,1,500,4365,4865
GeneralHealth_VeryGood,4865,0.361,0.480,0,0,0,1,1,1756,3109,4865
GeneralHealth_Good,4865,0.373,0.484,0,0,0,1,1,1813,3052,4865
GeneralHealth_Fair,4865,0.141,0.348,0,0,0,0,1,687,4178,4865
GeneralHealth_Poor,4865,0.022,0.148,0,0,0,0,1,109,4756,4865
smokeStat_Current,4865,0.104,0.305,0,0,0,0,1,506,4359,4865
smokeStat_Former,4865,0.249,0.433,0,0,0,0,1,1213,3652,4865
smokeStat_Never,4865,0.647,0.478,0,0,1,1,1,3146,1719,4865
eCigUse_Current,4865,0.033,0.178,0,0,0,0,1,159,4706,4865
eCigUse_Former,4865,0.113,0.317,0,0,0,0,1,550,4315,4865
eCigUse_Never,4865,0.854,0.353,0,1,1,1,1,4156,709,4865
