feature,importance
Age,0.12361350680348124
smokeStat_Never,0.11886064416512326
GeneralHealth_VeryGood,0.09084689377478644
GeneralHealth_Good,0.06817076977732907
BMI,0.06811019376245223
WeeklyMinutesModerateExercise,0.06448617981614359
smokeStat_Former,0.04892663316229862
AverageTimeSitting,0.04495972865342893
FreqGoProvider,0.04176053262555206
GeneralHealth_Excellent,0.041248773608843804
AverageSleepNight,0.03702173386127745
PHQ4,0.03426545719832211
AvgDrinksPerWeek,0.033803114356735116
GeneralHealth_Fair,0.029588496202521897
smokeStat_Current,0.02950891805904502
MedConditions_HighBP,0.02227159084820059
BirthGender,0.015682044991408448
eCigUse_Former,0.015474956019413332
MedConditions_Depression,0.014282908636923369
MedConditions_Diabetes,0.012759320428906366
EverHadCancer,0.009804327621987343
MedConditions_LungDisease,0.009257861842978336
eCigUse_Never,0.008961268094359815
Deaf,0.007036189840880646
eCigUse_Current,0.005604541011296066
GeneralHealth_Poor,0.0036934148363049727
