feature,importance
smokeStat_Current,67.01546478271484
smokeStat_Never,57.6183967590332
smokeStat_Former,31.907777786254883
GeneralHealth_Excellent,19.33734703063965
GeneralHealth_Fair,16.719768524169922
GeneralHealth_VeryGood,13.054631233215332
GeneralHealth_Good,11.499099731445312
GeneralHealth_Poor,10.58121395111084
eCigUse_Current,5.718960285186768
eCigUse_Former,5.086363792419434
Age,4.374593734741211
MedConditions_HighBP,3.131683588027954
eCigUse_Never,3.0695409774780273
MedConditions_Diabetes,3.011079788208008
MedConditions_Depression,2.8414947986602783
MedConditions_LungDisease,2.7858781814575195
EverHadCancer,2.7776875495910645
AverageSleepNight,2.7673816680908203
WeeklyMinutesModerateExercise,2.647757053375244
Deaf,2.5516366958618164
AvgDrinksPerWeek,2.4862234592437744
FreqGoProvider,2.3958990573883057
BirthGender,2.289665699005127
AverageTimeSitting,2.170938014984131
BMI,2.1090798377990723
PHQ4,2.009003162384033
