bin_left,bin_right,bin_center,count
17.5,18.5,18.0,62
18.5,19.5,19.0,42
19.5,20.5,20.0,45
20.5,21.5,21.0,56
21.5,22.5,22.0,74
22.5,23.5,23.0,73
23.5,24.5,24.0,100
24.5,25.5,25.0,93
25.5,26.5,26.0,103
26.5,27.5,27.0,119
27.5,28.5,28.0,136
28.5,29.5,29.0,122
29.5,30.5,30.0,149
30.5,31.5,31.0,147
31.5,32.5,32.0,147
32.5,33.5,33.0,126
33.5,34.5,34.0,158
34.5,35.5,35.0,176
35.5,36.5,36.0,156
36.5,37.5,37.0,155
37.5,38.5,38.0,137
38.5,39.5,39.0,170
39.5,40.5,40.0,155
40.5,41.5,41.0,142
41.5,42.5,42.0,149
42.5,43.5,43.0,169
43.5,44.5,44.0,137
44.5,45.5,45.0,156
45.5,46.5,46.0,138
46.5,47.5,47.0,124
47.5,48.5,48.0,126
48.5,49.5,49.0,162
49.5,50.5,50.0,161
50.5,51.5,51.0,153
51.5,52.5,52.0,159
52.5,53.5,53.0,167
53.5,54.5,54.0,191
54.5,55.5,55.0,189
55.5,56.5,56.0,167
56.5,57.5,57.0,184
57.5,58.5,58.0,195
58.5,59.5,59.0,201
59.5,60.5,60.0,217
60.5,61.5,61.0,206
61.5,62.5,62.0,261
62.5,63.5,63.0,213
63.5,64.5,64.0,226
64.5,65.5,65.0,257
65.5,66.5,66.0,228
66.5,67.5,67.0,266
67.5,68.5,68.0,246
68.5,69.5,69.0,231
69.5,70.5,70.0,261
70.5,71.5,71.0,210
71.5,72.5,72.0,204
72.5,73.5,73.0,190
73.5,74.5,74.0,207
74.5,75.5,75.0,203
75.5,76.5,76.0,160
76.5,77.5,77.0,133
77.5,78.5,78.0,137
78.5,79.5,79.0,120
79.5,80.5,80.0,113
80.5,81.5,81.0,72
81.5,82.5,82.0,71
82.5,83.5,83.0,51
83.5,84.5,84.0,45
84.5,85.5,85.0,54
85.5,86.5,86.0,54
86.5,87.5,87.0,33
87.5,88.5,88.0,23
88.5,89.5,89.0,23
89.5,90.5,90.0,25
90.5,91.5,91.0,13
91.5,92.5,92.0,14
92.5,93.5,93.0,12
93.5,94.5,94.0,16
94.5,95.5,95.0,5
95.5,96.5,96.0,3
96.5,97.5,97.0,2
97.5,98.5,98.0,2
98.5,99.5,99.0,1
99.5,100.5,100.0,2
