bin_left,bin_right,bin_center,count
10.2,13.639999999999999,11.919999999999998,5
13.639999999999999,17.08,15.36,48
17.08,20.52,18.799999999999997,611
20.52,23.96,22.240000000000002,1936
23.96,27.4,25.68,2455
27.4,30.84,29.119999999999997,2247
30.84,34.28,32.56,1405
34.28,37.72,36.0,834
37.72,41.16,39.44,435
41.16,44.599999999999994,42.879999999999995,267
44.599999999999994,48.03999999999999,46.31999999999999,152
48.03999999999999,51.480000000000004,49.76,94
51.480000000000004,54.92,53.2,48
54.92,58.36,56.64,21
58.36,61.8,60.08,9
61.8,65.24,63.519999999999996,6
65.24,68.67999999999999,66.96,5
68.67999999999999,72.12,70.4,2
72.12,75.56,73.84,0
75.56,79.0,77.28,1
