feature,importance
smokeStat_Never,0.44693901944439574
Age,0.143274688988893
GeneralHealth_VeryGood,0.12185425913723494
FreqGoProvider,0.06386718226692081
MedConditions_Depression,0.060285811350927525
AverageSleepNight,0.05030436649879835
MedConditions_HighBP,0.0410173368389774
BirthGender,0.030393853766483094
MedConditions_Diabetes,0.023414929757140775
GeneralHealth_Good,0.008524046223358001
BMI,0.003956350900333561
MedConditions_LungDisease,0.002910718866479898
smokeStat_Current,0.001949322026426971
AverageTimeSitting,0.0012016396426737781
Deaf,5.791645229491268e-05
EverHadCancer,1.899363553917698e-05
WeeklyMinutesModerateExercise,1.7444022869759174e-05
eCigUse_Former,1.0949233577535282e-05
GeneralHealth_Poor,1.1709466747355223e-06
AvgDrinksPerWeek,0.0
PHQ4,0.0
GeneralHealth_Excellent,0.0
smokeStat_Former,0.0
GeneralHealth_Fair,0.0
eCigUse_Current,0.0
eCigUse_Never,0.0
